motor,pwm,t_ms,count_acumulado,delta_count,vel_rad_s
E,90,60,0,0,0.000000
E,90,80,0,0,0.000000
E,90,100,0,0,0.000000
E,90,120,0,0,0.000000
E,90,140,0,0,0.000000
E,90,160,0,0,0.000000
E,90,180,0,0,0.000000
E,90,200,0,0,0.000000
E,90,220,0,0,0.000000
E,90,240,0,0,0.000000
E,90,260,0,0,0.000000
E,90,280,0,0,0.000000
E,90,300,0,0,0.000000
E,90,321,0,0,0.000000
E,90,340,0,0,0.000000
E,90,360,0,0,0.000000
E,90,380,0,0,0.000000
E,90,404,0,0,0.000000
E,90,428,0,0,0.000000
E,90,453,0,0,0.000000
E,90,476,0,0,0.000000
E,90,500,0,0,0.000000
E,90,524,0,0,0.000000
E,90,548,0,0,0.000000
E,90,571,0,0,0.000000
E,90,596,0,0,0.000000
E,95,0,0,0,0.000000
E,95,20,0,0,0.000000
E,95,40,0,0,0.000000
E,95,60,0,0,0.000000
E,95,80,0,0,0.000000
E,95,100,0,0,0.000000
E,95,120,0,0,0.000000
E,95,140,0,0,0.000000
E,95,160,0,0,0.000000
E,95,181,0,0,0.000000
E,95,200,0,0,0.000000
E,95,220,0,0,0.000000
E,95,240,0,0,0.000000
E,95,260,0,0,0.000000
E,95,280,0,0,0.000000
E,95,300,0,0,0.000000
E,95,320,0,0,0.000000
E,95,340,0,0,0.000000
E,95,360,0,0,0.000000
E,95,380,0,0,0.000000
E,95,405,0,0,0.000000
E,95,428,0,0,0.000000
E,95,453,0,0,0.000000
E,95,476,0,0,0.000000
E,95,500,0,0,0.000000
E,95,525,0,0,0.000000
E,95,548,0,0,0.000000
E,95,572,0,0,0.000000
E,95,596,0,0,0.000000
E,100,0,0,0,0.000000
E,100,20,0,0,0.000000
E,100,40,0,0,0.000000
E,100,60,0,0,0.000000
E,100,80,0,0,0.000000
E,100,100,0,0,0.000000
E,100,120,0,0,0.000000
E,100,140,0,0,0.000000
E,100,160,0,0,0.000000
E,100,180,0,0,0.000000
E,100,200,0,0,0.000000
E,100,220,0,0,0.000000
E,100,240,0,0,0.000000
E,100,260,0,0,0.000000
E,100,280,0,0,0.000000
E,100,300,0,0,0.000000
E,100,325,0,0,0.000000
E,100,350,0,0,0.000000
E,100,374,0,0,0.000000
E,100,400,0,0,0.000000
E,100,425,0,0,0.000000
E,100,450,0,0,0.000000
E,100,475,0,0,0.000000
E,100,499,0,0,0.000000
E,100,525,0,0,0.000000
E,100,549,0,0,0.000000
E,100,574,0,0,0.000000
E,105,0,0,0,0.000000
E,105,20,0,0,0.000000
E,105,40,0,0,0.000000
E,105,60,0,0,0.000000
E,105,80,0,0,0.000000
E,105,100,0,0,0.000000
E,105,120,0,0,0.000000
E,105,140,0,0,0.000000
E,105,160,0,0,0.000000
E,105,180,0,0,0.000000
E,105,200,0,0,0.000000
E,105,220,0,0,0.000000
E,105,240,0,0,0.000000
E,105,260,0,0,0.000000
E,105,280,0,0,0.000000
E,105,301,0,0,0.000000
E,105,326,0,0,0.000000
E,105,352,0,0,0.000000
E,105,376,0,0,0.000000
E,105,401,0,0,0.000000
E,105,426,0,0,0.000000
E,105,451,0,0,0.000000
E,105,477,0,0,0.000000
E,105,501,0,0,0.000000
E,105,526,0,0,0.000000
E,105,551,0,0,0.000000
E,105,576,0,0,0.000000
E,110,0,0,0,0.000000
E,110,20,0,0,0.000000
E,110,40,0,0,0.000000
E,110,60,0,0,0.000000
E,110,80,0,0,0.000000
E,110,100,0,0,0.000000
E,110,120,0,0,0.000000
E,110,140,0,0,0.000000
E,110,160,0,0,0.000000
E,110,180,0,0,0.000000
E,110,200,0,0,0.000000
E,110,220,0,0,0.000000
E,110,240,0,0,0.000000
E,110,260,0,0,0.000000
E,110,280,0,0,0.000000
E,110,301,0,0,0.000000
E,110,326,0,0,0.000000
E,110,350,0,0,0.000000
E,110,376,0,0,0.000000
E,110,401,0,0,0.000000
E,110,426,0,0,0.000000
E,110,451,0,0,0.000000
E,110,475,0,0,0.000000
E,110,501,0,0,0.000000
E,110,526,0,0,0.000000
E,110,550,0,0,0.000000
E,110,576,0,0,0.000000
E,115,0,0,0,0.000000
E,115,21,0,0,0.000000
E,115,40,0,0,0.000000
E,115,60,0,0,0.000000
E,115,80,0,0,0.000000
E,115,100,0,0,0.000000
E,115,120,0,0,0.000000
E,115,140,0,0,0.000000
E,115,160,0,0,0.000000
E,115,180,0,0,0.000000
E,115,200,0,0,0.000000
E,115,220,0,0,0.000000
E,115,240,0,0,0.000000
E,115,260,0,0,0.000000
E,115,280,0,0,0.000000
E,115,300,0,0,0.000000
E,115,326,0,0,0.000000
E,115,350,0,0,0.000000
E,115,375,0,0,0.000000
E,115,400,0,0,0.000000
E,115,425,0,0,0.000000
E,115,451,0,0,0.000000
E,115,475,0,0,0.000000
E,115,500,0,0,0.000000
E,115,525,0,0,0.000000
E,115,550,0,0,0.000000
E,115,575,0,0,0.000000
E,120,0,0,0,0.000000
E,120,20,0,0,0.000000
E,120,40,0,0,0.000000
E,120,60,0,0,0.000000
E,120,80,0,0,0.000000
E,120,100,0,0,0.000000
E,120,120,0,0,0.000000
E,120,140,0,0,0.000000
E,120,160,0,0,0.000000
E,120,180,0,0,0.000000
E,120,200,0,0,0.000000
E,120,220,0,0,0.000000
E,120,240,0,0,0.000000
E,120,260,0,0,0.000000
E,120,280,0,0,0.000000
E,120,301,0,0,0.000000
E,120,325,0,0,0.000000
E,120,351,0,0,0.000000
E,120,376,0,0,0.000000
E,120,401,0,0,0.000000
E,120,426,0,0,0.000000
E,120,450,0,0,0.000000
E,120,476,0,0,0.000000
E,120,501,0,0,0.000000
E,120,525,0,0,0.000000
E,120,551,0,0,0.000000
E,120,575,0,0,0.000000
E,125,0,0,0,0.000000
E,125,20,0,0,0.000000
E,125,40,0,0,0.000000
E,125,60,0,0,0.000000
E,125,80,0,0,0.000000
E,125,100,0,0,0.000000
E,125,121,0,0,0.000000
E,125,140,0,0,0.000000
E,125,160,0,0,0.000000
E,125,180,0,0,0.000000
E,125,200,0,0,0.000000
E,125,220,0,0,0.000000
E,125,240,0,0,0.000000
E,125,260,0,0,0.000000
E,125,280,0,0,0.000000
E,125,301,0,0,0.000000
E,125,325,0,0,0.000000
E,125,350,0,0,0.000000
E,125,375,0,0,0.000000
E,125,400,0,0,0.000000
E,125,426,0,0,0.000000
E,125,450,0,0,0.000000
E,125,475,0,0,0.000000
E,125,500,0,0,0.000000
E,125,525,0,0,0.000000
E,125,550,0,0,0.000000
E,125,575,0,0,0.000000
E,130,0,0,0,0.000000
E,130,20,0,0,0.000000
E,130,40,0,0,0.000000
E,130,60,0,0,0.000000
E,130,80,0,0,0.000000
E,130,100,0,0,0.000000
E,130,120,0,0,0.000000
E,130,140,0,0,0.000000
E,130,160,0,0,0.000000
E,130,180,0,0,0.000000
E,130,200,0,0,0.000000
E,130,220,0,0,0.000000
E,130,240,0,0,0.000000
E,130,260,0,0,0.000000
E,130,280,0,0,0.000000
E,130,300,0,0,0.000000
E,130,325,0,0,0.000000
E,130,350,0,0,0.000000
E,130,375,0,0,0.000000
E,130,400,0,0,0.000000
E,130,424,0,0,0.000000
E,130,450,0,0,0.000000
E,130,475,0,0,0.000000
E,130,499,0,0,0.000000
E,130,525,0,0,0.000000
E,130,549,0,0,0.000000
E,130,575,0,0,0.000000
E,135,0,0,0,0.000000
E,135,20,0,0,0.000000
E,135,40,0,0,0.000000
E,135,60,0,0,0.000000
E,135,80,0,0,0.000000
E,135,100,0,0,0.000000
E,135,120,0,0,0.000000
E,135,140,0,0,0.000000
E,135,160,0,0,0.000000
E,135,180,0,0,0.000000
E,135,200,0,0,0.000000
E,135,221,0,0,0.000000
E,135,240,0,0,0.000000
E,135,260,0,0,0.000000
E,135,280,0,0,0.000000
E,135,300,0,0,0.000000
E,135,325,0,0,0.000000
E,135,351,0,0,0.000000
E,135,375,0,0,0.000000
E,135,401,0,0,0.000000
E,135,425,0,0,0.000000
E,135,450,0,0,0.000000
E,135,475,0,0,0.000000
E,135,500,0,0,0.000000
E,135,526,0,0,0.000000
E,135,550,0,0,0.000000
E,135,575,0,0,0.000000
E,140,0,0,0,0.000000
E,140,20,0,0,0.000000
E,140,40,0,0,0.000000
E,140,60,0,0,0.000000
E,140,80,0,0,0.000000
E,140,101,0,0,0.000000
E,140,120,0,0,0.000000
E,140,140,0,0,0.000000
E,140,160,0,0,0.000000
E,140,180,0,0,0.000000
E,140,200,0,0,0.000000
E,140,220,0,0,0.000000
E,140,240,0,0,0.000000
E,140,260,0,0,0.000000
E,140,280,0,0,0.000000
E,140,301,0,0,0.000000
E,140,326,0,0,0.000000
E,140,351,0,0,0.000000
E,140,376,0,0,0.000000
E,140,401,0,0,0.000000
E,140,426,0,0,0.000000
E,140,451,0,0,0.000000
E,140,475,0,0,0.000000
E,140,501,0,0,0.000000
E,140,525,0,0,0.000000
E,140,551,0,0,0.000000
E,140,576,0,0,0.000000
E,145,0,0,0,0.000000
E,145,20,0,0,0.000000
E,145,40,0,0,0.000000
E,145,60,0,0,0.000000
E,145,80,0,0,0.000000
E,145,100,0,0,0.000000
E,145,120,0,0,0.000000
E,145,140,0,0,0.000000
E,145,160,0,0,0.000000
E,145,180,0,0,0.000000
E,145,200,0,0,0.000000
E,145,220,0,0,0.000000
E,145,240,0,0,0.000000
E,145,260,0,0,0.000000
E,145,280,0,0,0.000000
E,145,301,0,0,0.000000
E,145,326,0,0,0.000000
E,145,350,0,0,0.000000
E,145,376,0,0,0.000000
E,145,400,0,0,0.000000
E,145,425,0,0,0.000000
E,145,451,0,0,0.000000
E,145,475,0,0,0.000000
E,145,501,0,0,0.000000
E,145,525,0,0,0.000000
E,145,550,0,0,0.000000
E,145,575,0,0,0.000000
